 id  |         name          | ghn_district_code |     province      | type | ghn_support_type 
 280 | Tân Kỳ                | 2910              | Nghệ An           |    3 |                3
 284 | Châu Thành            | 5110              | An Giang          |    2 |                2
 289 | Con Cuông             | 2909              | Nghệ An           |    3 |                3
 294 | Đà Lạt                | 4201              | Lâm Đồng          |    1 |                3
 299 | Định Quán             | 4804              | Đồng Nai          |    3 |                3
 304 | Đức Thọ               | 3004              | Hà Tĩnh           |    3 |                3
 310 | Hà Tiên               | 5402              | Kiên Giang        |    3 |                3
 314 | Hòa Vang              | 0406              | Đà Nẵng           |    3 |                3
 319 | Hương Sơn             | 3003              | Hà Tĩnh           |    3 |                3
 324 | Kon Plông             | 3606              | Kon Tum           |    3 |                3
 329 | Lâm Hà                | 4210              | Lâm Đồng          |    3 |                3
 334 | Lý Nhân               | 2404              | Hà Nam            |    2 |                3
 339 | Mường Tè              |                   | Lai Châu          |    3 |                 
 344 | Nghi Xuân             | 3005              | Hà Tĩnh           |    3 |                3
 349 | Nông Cống             |                   | Thanh Hóa         |    3 |                 
 357 | Pleiku                | 3801              | Gia Lai           |    1 |                3
 362 | Quế Phong             | 2919              | Nghệ An           |    3 |                3
 367 | Sơn Động              | 1804              | Bắc Giang         |    3 |                3
 372 | Tân Hưng              | 4914              | Long An           |    3 |                3
 377 | Cầu Ngang             | 5807              | Trà Vinh          |    3 |                3
 382 | Chư Pưh               |                   | Gia Lai           |    3 |                 
 387 | Đa Krông              |                   | Quảng Trị         |    3 |                 
 392 | Điện Biên Phủ         | 6201              | Điện Biên         |    1 |                3
 397 | Đức Huệ               | 4906              | Long An           |    3 |                3
 402 | Hà Đông               | 1B15              | Hà Nội            |    2 |                3
 407 | Hòa Bình              | 6007              | Bạc Liêu          |    2 |                2
 412 | Hương Khê             | 3007              | Hà Tĩnh           |    3 |                3
 417 | Kinh Môn              | 2104              | Hải Dương         |    3 |                3
 420 | Lào Cai               | 0801              | Lào Cai           |    1 |                3
 427 | Lương Sơn             | 2307              | Hòa Bình          |    3 |                3
 432 | Mường Lay             | 6202              | Điện Biên         |    3 |                3
 437 | Ngân Sơn              | 1105              | Bắc Kạn           |    3 |                3
 442 | Ninh Sơn              | 4502              | Ninh Thuận        |    3 |                3
 447 | Phú Thiện             | 3816              | Gia Lai           |    3 |                3
 452 | Quảng Trạch           | 3104              | Quảng Bình        |    3 |                3
 457 | Quỳnh Nhai            |                   | Sơn La            |    3 |                 
 462 | Sơn Trà               | 0403              | Đà Nẵng           |    1 |                3
 467 | Tân Sơn               |                   | Phú Thọ           |    3 |                 
 472 | Châu Thành            | 5011              | Đồng Tháp         |    3 |                3
 477 | Cô Tô                 |                   | Quảng Ninh        |    3 |                 
 482 | Đạ Huoai              |                   | Lâm Đồng          |    3 |                 
 487 | Đoan Hùng             | 1503              | Phú Thọ           |    3 |                3
 492 | Đức Trọng             | 4203              | Lâm Đồng          |    3 |                3
 497 | Hà Tĩnh               | 3001              | Hà Tĩnh           |    1 |                3
 502 | Hoài Ân               |                   | Bình Định         |    3 |                 
 507 | Hương Thủy            | 3306              | Thừa Thiên - Huế  |    2 |                3
 512 | Kon Rẫy               |                   | Kon Tum           |    3 |                 
 518 | Lắk                   | 4012              | Đắk Lắk           |    3 |                3
 522 | Lý Sơn                |                   | Quảng Ngãi        |    3 |                 
 526 | Mỹ Đức                | 1B25              | Hà Nội            |    3 |                3
 532 | Nghĩa Đàn             | 2905              | Nghệ An           |    3 |                3
 537 | Núi Thành             | 3409              | Quảng Nam         |    3 |                3
 542 | Phù Mỹ                | 3705              | Bình Định         |    3 |                3
 547 | Quận 2                | 0202              | TP Hồ Chí Minh    |    1 |                3
 552 | Sầm Sơn               | 2803              | Thanh Hóa         |    2 |                2
 557 | Tam Kỳ                | 3401              | Quảng Nam         |    1 |                3
 562 | Tây Giang             |                   | Quảng Nam         |    3 |                 
 567 | Thanh Chương          | 2915              | Nghệ An           |    3 |                3
 572 | Thuận An              | 4404              | Bình Dương        |    2 |                3
 577 | Trảng Bom             | 4810              | Đồng Nai          |    3 |                3
 582 | U Minh Thượng         |                   | Kiên Giang        |    3 |                 
 587 | Vĩnh Long             | 5701              | Vĩnh Long         |    1 |                3
 592 | Yên Mô                | 2706              | Ninh Bình         |    2 |                3
 596 | Thanh Hóa             | 2801              | Thanh Hóa         |    1 |                3
 602 | Thủ Thừa              | 4909              | Long An           |    2 |                3
 607 | Trảng Bàng            | 4609              | Tây Ninh          |    3 |                3
 612 | U Minh                | 6103              | Cà Mau            |    3 |                3
 617 | Vĩnh Linh             | 3203              | Quảng Trị         |    3 |                3
 622 | Yên Khánh             | 2708              | Ninh Bình         |    2 |                2
 627 | Thanh Bình            | 5006              | Đồng Tháp         |    3 |                3
